,CT,AV_BLDG,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran
31,25025020302,631200.0,960,0,0,0,480,0,480,0,480,0,0,960,0,0,0,480,0,0,0,1920,480,0,1920,2880,480
32,25025020303,343200.0,19044,0,0,1058,5290,3174,0,0,2116,0,10580,16928,0,1058,0,10580,2116,0,1058,2116,9522,1058,99452,35972,20102
33,25025030100,444750.0,1650,0,0,0,550,550,0,0,0,0,550,550,0,0,0,2200,0,0,0,2750,0,0,2200,1650,0
34,25025030200,473100.0,453,0,0,0,1359,0,0,0,1359,0,906,1812,0,453,0,906,0,0,0,3624,453,0,3171,4983,2718
35,25025030300,652748.0,70950,0,0,15480,11610,0,2580,2580,20640,1290,30960,130290,0,9030,0,16770,0,0,2580,3870,30960,9030,189630,91590,118680
36,25025030400,494650.0,3690,0,0,0,2952,1476,738,0,4428,0,1476,2214,0,738,0,5166,0,0,0,4428,2952,0,8856,5904,5166
37,25025030500,622185.0,0,0,0,2060,0,0,0,1030,2060,0,2060,4120,0,0,0,3090,0,0,0,1030,1030,0,3090,2060,3090
38,25025040100,574750.0,7560,0,0,0,1080,0,0,0,1080,0,1080,4320,0,0,0,4320,0,0,0,5400,3240,0,6480,8640,1080
39,25025040200,538000.0,1518,0,0,0,253,0,0,0,253,0,506,11891,0,253,0,1012,0,0,253,759,506,1771,5313,2783,253
40,25025040300,457600.0,22704,0,0,0,4257,5676,0,0,1419,0,1419,35475,0,5676,0,8514,0,0,2838,2838,11352,0,42570,25542,7095
41,25025040401,457950.0,1264,0,0,0,1264,1264,632,0,0,0,632,1896,0,0,0,2528,0,0,632,3160,8216,1264,9480,7584,3160
42,25025040600,458500.0,4056,0,0,0,5070,0,0,0,0,0,1014,4056,0,1014,0,8112,1014,0,0,2028,2028,0,8112,11154,3042
43,25025040801,504750.0,6864,0,0,858,4290,0,1716,0,0,0,2574,16302,0,2574,0,8580,0,0,858,1716,5148,858,12012,20592,3432
44,25025050101,227350.0,11704,0,0,0,3080,3696,1232,0,0,0,1232,17248,0,3696,0,5544,616,0,616,6160,3080,0,9856,12936,4928
45,25025050200,232100.0,13194,0,0,733,3665,733,733,0,0,733,5131,12461,0,733,0,4398,0,0,733,11728,11728,0,25655,13194,8796
46,25025050300,260169.5,1440,0,0,0,1080,180,180,0,0,0,540,2880,0,540,0,900,0,0,360,1080,360,0,3240,1080,1620
47,25025050400,260650.0,2230,0,0,0,892,446,0,0,1338,0,446,6244,446,1784,446,2230,0,0,0,0,2230,446,6690,4460,3122
48,25025050500,248400.0,1200,0,0,0,0,0,0,0,0,0,0,900,0,300,0,0,0,0,0,1200,0,0,300,3000,600
49,25025050600,242350.0,2720,0,0,0,680,680,340,0,0,0,340,15640,0,340,0,680,0,0,0,1360,3740,2380,3400,10540,3060
50,25025050700,220550.0,5472,0,0,0,2052,1368,684,0,0,0,4104,12312,0,684,0,4788,0,0,2052,6156,8208,0,17100,15732,2052
51,25025050901,227750.0,6520,0,0,652,3912,652,0,0,1304,1956,1956,11084,0,652,0,2608,0,0,0,6520,11736,0,15648,9780,652
52,25025051000,244000.0,2776,0,0,0,4858,4858,0,0,694,0,694,7634,0,0,0,5552,0,0,0,3470,2082,694,12492,11104,694
53,25025051101,272750.0,11040,0,0,1104,6624,2208,0,0,1104,0,0,22080,0,4416,0,5520,0,0,1104,3312,6624,1104,27600,24288,6624
54,25025051200,294950.0,1812,0,0,0,604,0,0,0,0,0,0,3624,0,0,0,3020,0,0,0,1812,1208,0,3020,10268,2416
55,25025060101,443450.0,0,0,0,0,3180,1060,0,1060,5300,0,0,4240,0,0,0,5300,0,0,0,6360,2120,0,4240,15900,4240
